time;eth_supply
04/03/2016;77825961,75
05/03/2016;77852506,12
06/03/2016;77877865,5
07/03/2016;77903812,37
08/03/2016;77929601,12
09/03/2016;77955304,87
10/03/2016;77981903,62
11/03/2016;78008164,87
12/03/2016;78034484,87
13/03/2016;78061680,5
14/03/2016;78088048
15/03/2016;78119210,5
16/03/2016;78150638
17/03/2016;78182588
18/03/2016;78213803
19/03/2016;78245804,87
20/03/2016;78277326,12
21/03/2016;78308654,87
22/03/2016;78340303,62
23/03/2016;78371531,75
24/03/2016;78403529,87
25/03/2016;78435349,25
26/03/2016;78467208,62
27/03/2016;78498775,5
28/03/2016;78530028,62
29/03/2016;78561403,62
30/03/2016;78593036,12
31/03/2016;78624366,12
01/04/2016;78656183,62
02/04/2016;78687201,12
03/04/2016;78718859,25
04/04/2016;78750742,37
05/04/2016;78782252,37
06/04/2016;78813456,75
07/04/2016;78844561,12
08/04/2016;78876409,87
09/04/2016;78907264,87
10/04/2016;78938971,75
11/04/2016;78969884,87
12/04/2016;79001211,75
13/04/2016;79032633
14/04/2016;79063974,87
15/04/2016;79095643
16/04/2016;79127109,25
17/04/2016;79158544,25
18/04/2016;79190336,12
19/04/2016;79221595,5
20/04/2016;79253356,12
21/04/2016;79284664,87
22/04/2016;79316176,75
23/04/2016;79347803,62
24/04/2016;79379225,5
25/04/2016;79411290,5
26/04/2016;79442510,5
27/04/2016;79474314,87
28/04/2016;79505928,62
29/04/2016;79537543,62
30/04/2016;79569364,25
01/05/2016;79600315,5
02/05/2016;79632159,25
03/05/2016;79663883,62
04/05/2016;79695273
05/05/2016;79726976,75
06/05/2016;79758645,5
07/05/2016;79790145,5
08/05/2016;79821923
09/05/2016;79853654,87
10/05/2016;79885282,37
11/05/2016;79916461,12
12/05/2016;79948641,12
13/05/2016;79980753,62
14/05/2016;80012338
15/05/2016;80044069,25
16/05/2016;80075510,5
17/05/2016;80107623
18/05/2016;80139944,25
19/05/2016;80171776,12
20/05/2016;80203791,12
21/05/2016;80235551,12
22/05/2016;80267739,25
23/05/2016;80299739,25
24/05/2016;80331664,25
25/05/2016;80363934,25
26/05/2016;80395901,75
27/05/2016;80428141,12
28/05/2016;80460371,75
29/05/2016;80492264,87
30/05/2016;80524194,25
31/05/2016;80555651,75
01/06/2016;80587724,25
02/06/2016;80619835,5
03/06/2016;80652025,5
04/06/2016;80684088
05/06/2016;80715602,37
06/06/2016;80747902,37
07/06/2016;80779771,75
08/06/2016;80812002,37
09/06/2016;80844159,87
10/06/2016;80875259,87
11/06/2016;80907561,75
12/06/2016;80939709,25
13/06/2016;80971863,62
14/06/2016;81003932,37
15/06/2016;81035728,62
16/06/2016;81067536,12
17/06/2016;81100784,25
18/06/2016;81134983
19/06/2016;81168098
20/06/2016;81199736,12
21/06/2016;81231648
22/06/2016;81264241,75
23/06/2016;81296019,25
24/06/2016;81328115,5
25/06/2016;81359735,5
26/06/2016;81391971,12
27/06/2016;81423994,87
28/06/2016;81456084,87
29/06/2016;81487879,87
30/06/2016;81519782,37
01/07/2016;81552326,12
02/07/2016;81584168
03/07/2016;81616136,75
04/07/2016;81648203,62
05/07/2016;81679713
06/07/2016;81711993
07/07/2016;81743821,12
08/07/2016;81775693,62
09/07/2016;81808406,12
10/07/2016;81840303,62
11/07/2016;81872216,12
12/07/2016;81903905,5
13/07/2016;81935995,5
14/07/2016;81967739,25
15/07/2016;81999547,37
16/07/2016;82031643,62
17/07/2016;82063360,5
18/07/2016;82095781,12
19/07/2016;82127478,62
20/07/2016;82159304,87
21/07/2016;82192014,25
22/07/2016;82223631,12
23/07/2016;82255948,62
24/07/2016;82287359,25
25/07/2016;82319280,5
26/07/2016;82349984,25
27/07/2016;82382849,87
28/07/2016;82415128,62
29/07/2016;82446989,25
30/07/2016;82478563,62
31/07/2016;82510704,25
01/08/2016;82542229,87
02/08/2016;82573513
03/08/2016;82605148,62
04/08/2016;82637932,37
05/08/2016;82670091,12
06/08/2016;82701611,75
07/08/2016;82733833,62
08/08/2016;82765937,37
09/08/2016;82798526,12
10/08/2016;82830616,12
11/08/2016;82862741,12
12/08/2016;82894774,25
13/08/2016;82926702,37
14/08/2016;82958598,62
15/08/2016;82990859,25
16/08/2016;83022828,62
17/08/2016;83054748
18/08/2016;83087448
19/08/2016;83119220,5
20/08/2016;83151371,75
21/08/2016;83183982,37
22/08/2016;83216197,37
23/08/2016;83248301,75
24/08/2016;83280496,75
25/08/2016;83312566,75
26/08/2016;83344366,12
27/08/2016;83376596,75
28/08/2016;83408548,62
29/08/2016;83440406,12
30/08/2016;83472208,62
31/08/2016;83504276,75
01/09/2016;83535950,5
02/09/2016;83568258
03/09/2016;83599685,5
04/09/2016;83631476,75
05/09/2016;83663599,25
06/09/2016;83695213,62
07/09/2016;83727415,5
08/09/2016;83759251,75
09/09/2016;83791396,12
10/09/2016;83823154,87
11/09/2016;83855433
12/09/2016;83887594,25
13/09/2016;83919425,5
14/09/2016;83951873
15/09/2016;83983975,5
16/09/2016;84016139,25
17/09/2016;84048217,37
18/09/2016;84077724,25
19/09/2016;84111896,12
20/09/2016;84144314,25
21/09/2016;84176319,87
22/09/2016;84207793
23/09/2016;84241934,25
24/09/2016;84275086,12
25/09/2016;84309345,5
26/09/2016;84341336,12
27/09/2016;84376399,25
28/09/2016;84408721,12
29/09/2016;84440962,37
30/09/2016;84472518
01/10/2016;84506761,12
02/10/2016;84542284,87
03/10/2016;84575464,25
04/10/2016;84607435,5
05/10/2016;84640324,25
06/10/2016;84673006,75
07/10/2016;84709258,62
08/10/2016;84745135,5
09/10/2016;84778423,62
10/10/2016;84811427,37
11/10/2016;84843808
12/10/2016;84876749,25
13/10/2016;84911386,75
14/10/2016;84944189,87
15/10/2016;84976306,12
16/10/2016;85009119,87
17/10/2016;85041381,75
18/10/2016;85074587,37
19/10/2016;85107545,5
20/10/2016;85141950,5
21/10/2016;85174004,87
22/10/2016;85205641,12
23/10/2016;85236912,37
24/10/2016;85268898
25/10/2016;85300496,12
26/10/2016;85332388
27/10/2016;85363773
28/10/2016;85394792,37
29/10/2016;85424361,75
30/10/2016;85456253
31/10/2016;85488206,12
01/11/2016;85518648
02/11/2016;85549730,5
03/11/2016;85580882,37
04/11/2016;85611744,87
05/11/2016;85643106,12
06/11/2016;85674840,5
07/11/2016;85708026,12
08/11/2016;85740286,75
09/11/2016;85771229,25
10/11/2016;85802379,87
11/11/2016;85833659,25
12/11/2016;85865543
13/11/2016;85897905,5
14/11/2016;85929722,37
15/11/2016;85961098
16/11/2016;85992620,5
17/11/2016;86023364,25
18/11/2016;86056392,37
19/11/2016;86088656,12
20/11/2016;86121046,12
21/11/2016;86152799,25
22/11/2016;86183910,5
23/11/2016;86216389,25
24/11/2016;86248666,75
25/11/2016;86281968,62
26/11/2016;86314343,62
27/11/2016;86347877,37
28/11/2016;86381654,87
29/11/2016;86414501,12
30/11/2016;86446273
01/12/2016;86477956,12
02/12/2016;86509689,87
03/12/2016;86541748
04/12/2016;86572864,87
05/12/2016;86604042,37
06/12/2016;86635954,87
07/12/2016;86667606,75
08/12/2016;86699635,5
09/12/2016;86731234,25
10/12/2016;86762853
11/12/2016;86794574,87
12/12/2016;86825857,37
13/12/2016;86857603
14/12/2016;86889389,87
15/12/2016;86920698
16/12/2016;86952394,25
17/12/2016;86984294,87
18/12/2016;87016122,37
19/12/2016;87047538
20/12/2016;87079148,62
21/12/2016;87110686,75
22/12/2016;87141704,25
23/12/2016;87172762,37
24/12/2016;87204032,37
25/12/2016;87235979,87
26/12/2016;87267566,75
27/12/2016;87298735,5
28/12/2016;87330253,62
29/12/2016;87362010,5
30/12/2016;87393632,37
31/12/2016;87424804,87
01/01/2017;87456500,5
02/01/2017;87487972,37
03/01/2017;87519439,25
04/01/2017;87551477,37
05/01/2017;87583234,87
06/01/2017;87614536,12
07/01/2017;87646370,5
08/01/2017;87677996,75
09/01/2017;87709688
10/01/2017;87740983,62
11/01/2017;87772449,25
12/01/2017;87803948,62
13/01/2017;87835624,87
14/01/2017;87867051,75
15/01/2017;87898696,12
16/01/2017;87930179,25
17/01/2017;87961417,37
18/01/2017;87992966,12
19/01/2017;88025029,87
20/01/2017;88056092,37
21/01/2017;88087558,62
22/01/2017;88119081,12
23/01/2017;88150524,25
24/01/2017;88181889,87
25/01/2017;88213253
26/01/2017;88244976,12
27/01/2017;88276038,62
28/01/2017;88307512,37
29/01/2017;88338574,25
30/01/2017;88370439,25
31/01/2017;88401794,87
01/02/2017;88433070,5
02/02/2017;88464433,62
03/02/2017;88495648,62
04/02/2017;88527349,25
05/02/2017;88558894,87
06/02/2017;88590461,75
07/02/2017;88621888
08/02/2017;88653531,75
09/02/2017;88684907,37
10/02/2017;88716347,37
11/02/2017;88747876,75
12/02/2017;88779390,5
13/02/2017;88811064,87
14/02/2017;88842469,87
